Created - 13:22:43.852074: Large marble: Big Joe, marbles: Almond, Blue, Almond, Orange Peel, Green, Green, Orange Peel, 
Created - 13:22:44.224883: Large marble: Lucky, marbles: Mimi Pink, Green, Isabelline, Slate Blue, Shandy, Isabelline, Auburn, 
Created - 13:22:44.600295: Large marble: Apollo, marbles: Cobalt Blue, Royal Red, Middle Green Yellow, Spanish Pink, Thulian Pink, Mimi Pink, Orange Soda, 
Created - 13:22:44.974796: Large marble: Hercules, marbles: Eerie Black, Tuscan Brown, Sheen Green, Candy Pink, Maximum Purple, Orange Soda, La Salle Green, 
Created - 13:22:45.347165: Large marble: Big Joe, marbles: Mimi Pink, Pale Cerulean, Orange Soda, Brink Pink, Russian Green, Lumber, Granny Smith Apple, 
Created - 13:22:45.726408: Large marble: Spinner, marbles: Mimi Pink, Orange Peel, Lavender Purple, Neon Silver, Duke Blue, Maximum Blue, Blue Bell, 
Created - 13:22:46.099486: Large marble: Spinner, marbles: Fiery Rose, Icterine, Ivory, Lavender Blue, Indigo, Indigo, Maximum Purple, 
Created - 13:22:46.473189: Large marble: Big Joe, marbles: Maximum Purple, Candy Pink, Russian Green, Pale Cerulean, Icterine, Silver Pink, Mulberry, 
Created - 13:22:46.846573: Large marble: Spinner, marbles: Spanish Orange, Blue, Orange Peel, Lavender Blue, Russian Green, Bistre Brown, Mimi Pink, 
Created - 13:22:47.226397: Large marble: Hercules, marbles: Neon Dark Green, Platinum, Ivory, White Smoke, Liver Chestnut, Blue, Thulian Pink, 
Created - 13:22:47.604864: Large marble: Zeus, marbles: Royal Blue, Gold, Mint Green, Mimi Pink, Spanish Carmine, Almond, Cobalt Blue, 
Created - 13:22:47.980016: Large marble: 5-Star, marbles: Maximum Blue, Spanish Orange, Antique Brass, Fiery Rose, Neon Pink, Chinese Red, Neon Pink, 
Created - 13:22:48.357905: Large marble: Hercules, marbles: Pale Plum, Vegas Gold, Lavender Purple, Outrageous Orange, Pastel Blue, Pastel Blue, Ruby, 
Created - 13:22:48.729783: Large marble: Sure Shot, marbles: Dark Moss Green, Candy Pink, Royal Red, Auburn, Dark Fuchsia, Indigo, Orange Soda, 
Created - 13:22:49.107559: Large marble: Spinner, marbles: Dark Fuchsia, Fiery Rose, Silver Chalice, Maximum Violet, Blue-Green, Lumber, Bistre Brown, 
Created - 13:22:49.471910: Large marble: Sure Shot, marbles: Pale Cerulean, Golden Yellow, Thulian Pink, Pale Cerulean, Cotton Candy, Royal Orange, Royal Blue, 
Created - 13:22:49.839433: Large marble: Hercules, marbles: Isabelline, Sheen Green, Antique Brass, White Smoke, Middle Red Purple, Brink Pink, Blue Bell, 
Created - 13:22:50.204422: Large marble: Apollo, marbles: Neon Silver, Slate Blue, Outrageous Orange, Pale Cerulean, Blue, Orange Soda, Zomp, 
Created - 13:22:50.584205: Large marble: Winner, marbles: Royal Red, Silver Pink, Blue Bell, Beaver, Pale Cerulean, Black Coral, Orange Soda, 
Created - 13:22:50.957287: Large marble: Spinner, marbles: Blue, Maximum Blue, Lavender Purple, Tuscan Brown, Pale Taupe, Neon Dark Green, Rose Dust, 
Created - 13:22:51.327166: Large marble: Spinner, marbles: Pastel Gray, Shandy, Almond, Dark Fuchsia, Blue-Green, Arylide Yellow, Orange Peel, 
Created - 13:22:51.703723: Large marble: Zeus, marbles: Safety Yellow, Lilac Luster, Eerie Black, Terra Cotta, Stop Red, Chinese Red, Chinese Red, 
Created - 13:22:52.073313: Large marble: Apollo, marbles: Granny Smith Apple, Terra Cotta, Gold, Sheen Green, Safety Yellow, Pale Cerulean, Royal Red, 
Created - 13:22:52.455297: Large marble: Lucky, marbles: Granny Smith Apple, Antique Bronze, Silver Chalice, Venetian Red, Black Coral, Dark Fuchsia, Arylide Yellow, 
Created - 13:22:52.826944: Large marble: Big Joe, marbles: Russian Green, Antique Bronze, Golden Yellow, Indigo, Purple Plum, Lilac Luster, La Salle Green, 
Created - 13:22:53.199313: Large marble: Winner, marbles: Purple Plum, Dark Moss Green, Russian Violet, Emerald, Vegas Gold, Slate Blue, Neon Silver, 
Created - 13:22:53.584137: Large marble: Big Joe, marbles: Neon Silver, Venetian Red, Platinum, Venetian Red, Mimi Pink, Almond, Green, 
Created - 13:22:53.958113: Large marble: Zeus, marbles: Cotton Candy, Russian Violet, Spanish Carmine, Cobalt Blue, Big Dip O’ruby, Brink Pink, Cotton Candy, 
Created - 13:22:54.335945: Large marble: Sure Shot, marbles: Ivory, Spanish Pink, Pale Cerulean, Chinese Red, Big Dip O’ruby, Light Orchid, Silver Pink, 
Created - 13:22:54.710257: Large marble: Zeus, marbles: Shandy, Green, Slate Blue, Lumber, Antique Bronze, Lavender Purple, Ivory, 
Created - 13:22:55.086520: Large marble: Big Joe, marbles: Pale Cerulean, Fiery Rose, Spanish Pink, Emerald, Dark Fuchsia, Neon Dark Green, Fiery Rose, 
Created - 13:22:55.464319: Large marble: Hercules, marbles: Terra Cotta, Brink Pink, Orange Peel, Purple Plum, Light Orchid, Duke Blue, Arylide Yellow, 
Created - 13:22:55.844485: Large marble: Spinner, marbles: Blue Bell, Isabelline, Mint Cream, Ivory, Mint Cream, Icterine, Gold, 
Created - 13:22:56.213487: Large marble: Lucky, marbles: Lavender Purple, Blue, Ivory, Lavender Blue, Honeydew, Royal Orange, Purple, 
Created - 13:22:56.583373: Large marble: Big Joe, marbles: Arylide Yellow, Vegas Gold, Pastel Blue, Mint Cream, Almond, Vegas Gold, Antique Brass, 
Created - 13:22:56.949269: Large marble: Lucky, marbles: Russian Violet, Maximum Violet, Platinum, Green, Isabelline, Maximum Violet, Middle Green Yellow, 
Created - 13:22:57.314419: Large marble: Hercules, marbles: Rose Dust, La Salle Green, Cobalt Blue, Lemon Lime, Ivory, Eerie Black, Brink Pink, 
Created - 13:22:57.682177: Large marble: 5-Star, marbles: Neon Silver, Middle Red Purple, Honeydew, Mint Cream, Spanish Orange, Silver Pink, Lavender Blue, 
Created - 13:22:58.049184: Large marble: Lucky, marbles: Spanish Pink, Mimi Pink, Light Orchid, Stop Red, Antique Brass, Thulian Pink, Light Orange, 
Created - 13:22:58.408062: Large marble: Zeus, marbles: Neon Silver, Dark Moss Green, Russian Violet, Shandy, Pastel Gray, Lavender Blue, Dark Fuchsia, 
Created - 13:22:58.776461: Large marble: Spinner, marbles: Mint Cream, Spanish Carmine, Maximum Purple, White Smoke, La Salle Green, Ruby, Spanish Carmine, 
Created - 13:22:59.137398: Large marble: Sure Shot, marbles: Liver Chestnut, Middle Red Purple, Maximum Blue, Liver Chestnut, Lavender Blue, Pale Taupe, Indigo, 
Created - 13:22:59.501240: Large marble: Hercules, marbles: Mimi Pink, Spanish Carmine, Royal Red, Blue-Green, Maximum Purple, Orange Soda, Granny Smith Apple, 
Created - 13:22:59.879103: Large marble: Zeus, marbles: Mode Beige, La Salle Green, Orange Peel, Mode Beige, Brink Pink, Indigo, Mint Cream, 
Created - 13:23:00.247907: Large marble: Hercules, marbles: Lilac Luster, Spanish Pink, Mango Tango, Emerald, Platinum, Middle Red Purple, Mulberry, 
Created - 13:23:00.615633: Large marble: Zeus, marbles: Beaver, Blue Bell, Cotton Candy, Ivory, Golden Yellow, Mango Tango, Orange Soda, 
Created - 13:23:00.992482: Large marble: Big Joe, marbles: Mango Tango, Maximum Blue, Slate Blue, Chinese Red, Neon Pink, La Salle Green, Tuscan Brown, 
Created - 13:23:01.349100: Large marble: Lucky, marbles: Ivory, Royal Red, Black Coral, Chinese Red, Thulian Pink, Neon Silver, Thulian Pink, 
Created - 13:23:01.707554: Large marble: Spinner, marbles: Brink Pink, Lumber, Emerald, Mimi Pink, Antique Bronze, Antique Bronze, Tuscan Brown, 
Created - 13:23:02.075618: Large marble: 5-Star, marbles: White Smoke, Dark Moss Green, Maximum Violet, Royal Blue, Arylide Yellow, Antique Brass, Brown, 
Created - 13:23:02.451407: Large marble: 5-Star, marbles: Emerald, Stop Red, Golden Yellow, Mango Tango, Neon Pink, Fiery Rose, Lumber, 
Created - 13:23:02.817175: Large marble: Apollo, marbles: Ivory, Light Orange, Duke Blue, Antique Bronze, Beaver, Spanish Pink, Arylide Yellow, 
Created - 13:23:03.184965: Large marble: 5-Star, marbles: Light Orchid, White Smoke, Pale Taupe, Beaver, Russian Green, Cotton Candy, Candy Pink, 
Created - 13:23:03.547148: Large marble: Sure Shot, marbles: Slate Blue, Icterine, Gold, Bistre Brown, La Salle Green, Safety Yellow, Big Dip O’ruby, 
Created - 13:23:03.907032: Large marble: Sure Shot, marbles: Mint Cream, Big Dip O’ruby, Pastel Blue, Auburn, Neon Dark Green, Maximum Blue, Terra Cotta, 
Created - 13:23:04.275884: Large marble: Sure Shot, marbles: Sheen Green, Pale Goldenrod, Bistre Brown, Platinum, Auburn, Slate Blue, Outrageous Orange, 
Created - 13:23:04.642554: Large marble: 5-Star, marbles: Honeydew, Pale Goldenrod, Mode Beige, Green, Cotton Candy, Slate Blue, Dark Moss Green, 
Created - 13:23:05.003957: Large marble: Zeus, marbles: Orange Soda, Russian Violet, Mulberry, Cotton Candy, Granny Smith Apple, Royal Red, Big Dip O’ruby, 
Created - 13:23:05.361849: Large marble: Sure Shot, marbles: Blue-Green, Dark Fuchsia, Pale Taupe, Mimi Pink, Royal Blue, Pale Plum, Candy Pink, 
Created - 13:23:05.732643: Large marble: Big Joe, marbles: Vegas Gold, Ivory, Lemon Lime, Chinese Red, Purple Plum, Lumber, Gold, 
Created - 13:23:06.091695: Large marble: Lucky, marbles: Silver Chalice, Russian Violet, Spanish Carmine, Antique Brass, Light Orchid, Sage, Silver Chalice, 
Created - 13:23:06.455286: Large marble: Big Joe, marbles: Platinum, Emerald, Sage, Indigo, Orange Soda, Terra Cotta, Spanish Pink, 
Created - 13:23:06.816409: Large marble: Zeus, marbles: Granny Smith Apple, Arylide Yellow, Orange Soda, Pastel Blue, White Smoke, Purple Plum, Russian Green, 
Created - 13:23:07.177320: Large marble: Sure Shot, marbles: Slate Blue, Royal Red, Russian Violet, Maximum Blue, Mint Green, Dark Moss Green, Brown, 
Created - 13:23:07.543431: Large marble: Apollo, marbles: Neon Silver, Chinese Red, Zomp, White Smoke, Silver Chalice, White Smoke, Thulian Pink, 
Created - 13:23:07.910969: Large marble: Zeus, marbles: Blue Bell, Antique Brass, Cotton Candy, Safety Yellow, Orange Soda, Pale Cerulean, Antique Brass, 
Created - 13:23:08.284149: Large marble: 5-Star, marbles: Middle Green, Dark Fuchsia, Candy Pink, Emerald, Eerie Black, Slate Blue, Mode Beige, 
Created - 13:23:08.666358: Large marble: Hercules, marbles: Light Orange, Thulian Pink, Golden Yellow, Light Orchid, Thulian Pink, Middle Red Purple, Big Dip O’ruby, 
Created - 13:23:09.043884: Large marble: 5-Star, marbles: Mint Cream, Orange Soda, Middle Red Purple, Lavender Blue, Pastel Gray, Mulberry, Shandy, 
Created - 13:23:09.426054: Large marble: Zeus, marbles: Maximum Blue, Silver Pink, Mango Tango, Pastel Gray, Spanish Pink, Emerald, Gold, 
Created - 13:23:09.809678: Large marble: Zeus, marbles: Auburn, Sage, Spanish Carmine, Russian Green, Vegas Gold, Pale Plum, Ruby, 
Created - 13:23:10.180086: Large marble: Spinner, marbles: Slate Blue, Venetian Red, Almond, Black Coral, Ivory, Middle Green, Neon Silver, 
Created - 13:23:10.533905: Large marble: Lucky, marbles: Royal Red, Almond, Middle Green, Orange Soda, Lumber, Pale Taupe, Blue-Green, 
Created - 13:23:10.889524: Large marble: Hercules, marbles: Neon Dark Green, Mulberry, Honeydew, Neon Dark Green, Emerald, Mimi Pink, Royal Blue, 
Created - 13:23:11.244811: Large marble: Lucky, marbles: Russian Violet, Light Orchid, Rose Quartz, Safety Yellow, Silver Pink, Neon Pink, Granny Smith Apple, 
Created - 13:23:11.616052: Large marble: Winner, marbles: Mimi Pink, Neon Silver, Pale Plum, Orange Peel, Orange Soda, Mango Tango, Purple Plum, 
Created - 13:23:11.977083: Large marble: Hercules, marbles: Duke Blue, Brink Pink, Sheen Green, Royal Blue, Candy Pink, Pale Goldenrod, Antique Bronze, 
Created - 13:23:12.345056: Large marble: Lucky, marbles: Pastel Blue, Bistre Brown, Cotton Candy, Orange Peel, Bistre Brown, Ruby, Maximum Violet, 
Created - 13:23:12.711174: Large marble: Zeus, marbles: Cobalt Blue, Orange Soda, Lavender Blue, Terra Cotta, Golden Yellow, Lilac Luster, Arylide Yellow, 
Created - 13:23:13.078330: Large marble: Apollo, marbles: Rose Dust, Brown, Pastel Blue, Tuscan Brown, Bistre Brown, Tuscan Brown, Maximum Purple, 
Created - 13:23:13.451533: Large marble: Sure Shot, marbles: Middle Red Purple, Zomp, Lilac Luster, Dark Moss Green, Zomp, Blue-Green, Silver Pink, 
Created - 13:23:13.815762: Large marble: Apollo, marbles: Purple, Emerald, Venetian Red, Rose Quartz, Light Orchid, Venetian Red, Royal Orange, 
Created - 13:23:14.178958: Large marble: Spinner, marbles: Pale Taupe, Antique Bronze, Rose Dust, Ivory, Rose Dust, Orange Peel, Spanish Carmine, 
Created - 13:23:14.549125: Large marble: Hercules, marbles: Russian Green, Brink Pink, Shandy, Spanish Orange, Cobalt Blue, Pastel Blue, Mulberry, 
Created - 13:23:14.910991: Large marble: Apollo, marbles: Brown, Outrageous Orange, Slate Blue, Arylide Yellow, Blue Bell, Silver Pink, Gold, 
Created - 13:23:15.279881: Large marble: Zeus, marbles: Mango Tango, Neon Pink, Royal Orange, Lavender Purple, Mode Beige, Golden Yellow, Pale Taupe, 
Created - 13:23:15.658811: Large marble: Lucky, marbles: Lumber, Eerie Black, Royal Blue, Green, Pastel Blue, Pale Goldenrod, Mango Tango, 
Created - 13:23:16.037264: Large marble: Big Joe, marbles: Shandy, Pale Cerulean, Mode Beige, Neon Dark Green, Brown, Mango Tango, Venetian Red, 
Created - 13:23:16.419727: Large marble: Apollo, marbles: Mimi Pink, Mint Green, Lumber, Platinum, Beaver, Russian Violet, Dark Fuchsia, 
Created - 13:23:16.804880: Large marble: Lucky, marbles: Maximum Purple, Arylide Yellow, Royal Red, Granny Smith Apple, Blue-Green, Black Coral, Icterine, 
